alu	?Are?are
soq	Kanasi
bjj	Kanauji
kqw	Kandas
gam	Kandawo
kbs	Kande
kyp	Kang
kcp	Kanga
kkv	Kangean
igm	Kanggape
kxs	Kangjia
kty	Kango
kzy	Kango-Sua
xnr	Kangri
ktk	Kaniet
kev	Kanikkaran
kdp	Kaningdon-Nindem
kzo	Kaningi
knr	Kaningra
wat	Kaninuwa
kmu	Kanite
kft	Kanjari
kbe	Kanju
kne	Kankanaey
kn	Kannada
kfi	Kannada Kurumba
kxo	Kano?
kxn	Kanowit-Tanjong Melanau
ksk	Kansa
xkt	Kantosi
khx	Kanu
kni	Kanufi
kr	Kanuri
kny	Kanyok
kax	Kao
kqn	Kaonde
ykm	Kap
pam	Kapampangan
khp	Kapauri
tbx	Kapin
xpn	Kapinaw?
kpg	Kapingamarangi
dju	Kapriman
kbi	Kaptiau
klo	Kapya
leu	Kara (New Guinea)
reg	Kara (Tanzania)
krc	Karachay-Balkar
gbd	Karadjeri
mry	Karaga Mandaya
xkh	Karahawyana
kdr	Karaim
kpj	Karaj?
kaa	Karakalpak
xqa	Karakhanid
xar	Karami
kdj	Karamojong
kzr	Karang
kth	Karanga
zkk	Karankawa
kyj	Karao
kgv	Karas
kpt	Karata
xrw	Karawa
mjw	Karbi
kai	Karekare
krl	Karelian
kyd	Karey
kbj	Kari
kgn	Karingani
kuq	Karipuna
kgm	Karip?na
kmv	Karip?na Creole French
kzw	Karir?-Xoc?
ktn	Kariti?na
kil	Kariya
vka	Kariyarra
yuj	Karkar-Yuri
krb	Karkin
kko	Karko
bbv	Karnai
kxh	Karo
btx	Karo Batak
kyh	Karok
kyn	Karolanos
krx	Karon
kgw	Karon Dori
xkx	Karore
xrq	Karranga
rxw	Karuwali
ccj	Kasanga
xsm	Kasem
kju	Kashaya
ks	Kashmiri
csb	Kashubian
ksn	Kasiguranin
kkz	Kaska
zsk	Kaskean
gva	Kaskih?
kgc	Kasseng
kao	Kassonke
khs	Kasua
kgd	Kataang
ktq	Katabaga
xat	Katawixi
kmg	K?te
tkt	Kathoriya Tharu
ykt	Kathu
bsh	Kati
kfu	Katkari
kcr	Katla
ktw	Kato
kaf	Katso
kta	Katua
kav	Katuk?na
pss	Kaulong
vkk	Kaur
bpp	Kaure
zku	Kaurna
xau	Kauwera
ckv	Kavalan
krv	Kavet
kcb	Kawacha
xaw	Kawaiisu
kgb	Kawe
alc	Kaw?sqar
ktx	Kaxarar?
kbb	Kaxui?na
zra	Kaya
kyz	Kayab?
kyt	Kayagar
pdu	Kayan
xay	Kayan Mahakam
xkn	Kayan River Kayan
kak	Kayapa Kallahan
txu	Kayap?
gyd	Kayardild
kzl	Kayeli
kxy	Kayong
kyv	Kayort
gbb	Kaytetye
kzu	Kayupulau
kk	Kazakh
kzk	Kazukuru
xxk	Ke'o
keh	Keak
khz	Keapara
meo	Kedah Malay
ksx	Kedang
kdy	Keder
khh	Kehu
kei	Kei
kec	Keiga
bmh	Kein
eyo	Keiyo
kel	Kela
kzi	Kelabit
keb	K?l?
ify	Keley-I Kallahan
kbo	Keliko
xel	Kelo
kyo	Kelon
kem	Kemak
xem	Kembayan
bzp	Kemberano
xkw	Kembra
dmo	Kemezung
sjk	Kemi Sami
kfj	Kemiehua
kmt	Kemtuik
xbn	Kenaboi
gat	Kenati
knx	Kendayan
klf	Kendeje
kvm	Kendem
kyq	Kenga
kxi	Keningau Murut
knl	Keninjal
kns	Kensiu
ndb	Kenswei Nsei
xki	Kenyan Sign Language
ken	Kenyang
lke	Kenyi
xeu	Keoru-Ahia
kpn	Kepkiriw?t
kuk	Kepo'
ker	Kera
hhr	Kerak
xke	Kereho
krk	Kerek
ked	Kerewe
kxz	Kerewo
kvr	Kerinci
xes	Kesawai
ket	Ket
kae	Ketangalan
kcv	Kete
xte	Ketengban
ktt	Ketum
kyg	Keyagana
xkv	Kgalagadi
kjh	Khakas
kjf	Khalaj
klr	Khaling
kjl	Kham
kbg	Khamba
khg	Khams Tibetan
kht	Khamti
ksu	Khamyang
ogo	Khana
khn	Khandesi
kjm	Kh?ng
kca	Khanty
xao	Khao
kfw	Kharam Naga
khr	Kharia
ksy	Kharia Thar
kha	Khasi
lko	Khayo
zkz	Khazar
kqg	Khe
tlx	Khehek
xkf	Khengkha
xhe	Khetrani
nkh	Khezha Naga
kix	Khiamniungan Naga
kjj	Khinalug
kwx	Khirwar
kqm	Khisa
zkt	Khitan
llo	Khlor
ykl	Khlula
km	Khmer
kjg	Khmu
xkc	Kho'ini
nkb	Khoibu Naga
ktc	Kholok
kxc	Khonso
kmz	Khorasani Turkish
zkh	Khorezmian
kho	Khotanese
khw	Khowar
xhv	Khua
khf	Khuen
cnk	Khumi Chin
kkh	Kh?n
kfm	Khunsari
khv	Khvarshi
bez	Kibena
kie	Kibet
prm	Kibiri
kic	Kickapoo
kzg	Kikai
kcu	Kikami
kmw	Kikumu
ki	Kikuyu
sjd	Kildin Sami
kij	Kilivila
klb	Kiliwa
kih	Kilmeri
kia	Kim
mji	Kim Mun
kig	Kimaama
kqr	Kimaragang
kiv	Kimbu
kmb	Kimbundu
sbt	Kimki
kqp	Kimr?
cbw	Kinabalian
kco	Kinalakna
krj	Kinaray-a
zga	Kinga
gqn	Kinikinao
kfk	Kinnauri
knq	Kintaq
kkd	Kinuku
bmy	Kinyabemba
rw	Kinyarwanda
ues	Kioko
kkm	Kiong
xko	Kiorr
kio	Kiowa
pkb	Kipfokomo
sgc	Kipsigis
kyi	Kiput
kkr	Kir-Balar
geb	Kire
kks	Kirfi
okr	Kirike
kiy	Kirikiri
rn	Kirundi
fkk	Kirya-Konzel
kis	Kis
lks	Kisa
xis	Kisan
kqh	Kisankasa
kje	Kisar
kiz	Kisi
gru	Kistane
mwk	Kita Maninkakan
tbt	Kitembo
gia	Kitja
kii	Kitsai
ktu	Kituba
wei	Kiunum
yaf	Kiyaka
lda	Kla
clm	Klallam
kla	Klamath-Modoc
klu	Klao
kqt	Klias River Kadazan
tlh	Klingon
czk	Knaanic
fuj	Ko
kib	Koalib
cku	Koasati
kpd	Koba
kcj	Kobiana
kgu	Kobol
kpw	Kobon
kdq	Koch
thq	Kochila Tharu
cdz	Koda
ksz	Kodaku
kfa	Kodava
vko	Kodeoha
kod	Kodi
kwp	Kodia
kcs	Koenoem
kso	Kofa
kpi	Kofei
kwl	Kofyar
kkx	Kohin
plk	Kohistani Shina
kpm	Koho
bcs	Kohumono
kkt	Koi
zkb	Koibal
nkd	Koireng
kqi	Koitabu
kxt	Koiwat
gko	Kok-Nar
okg	Kok-Paponk
ktd	Kokata
trp	Kokborok
kou	Koke
kkp	Koko-Bera
xod	Kokoda
kzn	Kokola
kkk	Kokota
biw	Kol (Cameroon)
kvv	Kola
klc	Kolbila
ekl	Kolhe
skn	Kolibugan Subanon
klm	Kolom
ksh	K?lsch
klx	Koluwawa
bkm	Kom (Cameroon)
kmm	Kom (India)
kmy	Koma
kpf	Komba
tyn	Kombai
xbi	Kombio
kge	Komering
koi	Komi-Permyak
kpv	Komi-Zyrian
xoi	Kominimung
xom	Komo
kvh	Komodo
kvp	Kompane
kzv	Komyandaret
kkn	Kon Keu
bbo	Konab?r?
kxw	Konai
knd	Konda
kfc	Konda-Dora
kdw	Koneraw
kg	Kongo
kok	Konkani
xon	Konkomba
kma	Konni
knu	Kono (Guinea)
klk	Kono (Nigeria)
kno	Kono (Sierra Leone)
koa	Konomala
kcz	Konongo
nbe	Konyak Naga
mku	Konyanka Maninka
koo	Konzo
ozm	Koonzime
kqy	Koorete
xop	Kopar
opk	Kopkaka
kpr	Korafe-Yegha
koz	Korak
kqz	Korana
kcy	Korandje
ko	Korean
kvk	Korean Sign Language
coe	Koreguaje
okh	Koresh-e Rostam
kfq	Korku
vkp	Korlai Creole Portuguese
jkr	Koro (India)
kxr	Koro (New Guinea)
krf	Koro (Vanuatu)
kfo	Koro (West Africa)
kfz	Koromf?
kqj	Koromira
bpr	Koronadal Blaan
xkq	Koroni
krp	Korop
xxr	Korop?
ktl	Koroshi
khe	Korowai
kfd	Korra Koraga
xor	Korubo
kpq	Korupun-Sela
kfp	Korwa
kpy	Koryak
kiq	Kosadle
kkl	Kosarek Yale
kze	Kosena
kid	Koshin
kos	Kosraean
kfe	Kota
mqg	Kota Bangun Kutai Malay
grm	Kota Marudu Talantang
ktr	Kota Marudu Tinagas
kqk	Kotafon Gbe
avk	Kotava
eko	Koti
zko	Kott
kyf	Kouya
kqb	Kovai
kvc	Kove
xow	Kowaki
kwh	Kowiai
kqd	Koy Sanjaq Surat
kff	Koya
kga	Koyaga
koh	Koyo
khq	Koyra Chiini Songhay
ses	Koyraboro Senni Songhai
koy	Koyukon
kuw	Kpagua
kpl	Kpala
kpk	Kpan
pbn	Kpasam
koc	Kpati
kym	Kpatili
cpo	Kpeego
kpe	Kpelle
kef	Kpessi
kph	Kplang
kye	Krache
xra	Krah?
rka	Kraol
kqq	Krenak
krs	Kresh
zkv	Krevinian
xre	Kreye
xri	Krikati-Timbira
krm	Krim
kri	Krio
rop	Kriol
ksi	Krisa
cpp	Kristang
kxb	Krobu
kgo	Krongo
krr	Kru'ng
jct	Krymchak
kry	Kryts
tyu	Kua
uan	Kuan
xnh	Kuanhua
kgf	Kube
kof	Kubi
jko	Kubo
kvb	Kubu
lkc	Kucong
kfg	Kudiya
kyw	Kudmali
kov	Kudu-Camo
kow	Kugama
kes	Kugbo
xmh	Kugu-Muminh
kxu	Kui (India)
kvd	Kui (Indonesia)
dkr	Kuijau
kui	Kuik?ro
vkj	Kujarge
kfn	Kuk
kux	Kukatja
kez	Kukele
kex	Kukna
xmq	Kuku-Mangk
xmp	Kuku-Mu'inh
ugb	Kuku-Ugbanh
uwa	Kuku-Uwanh
gvn	Kuku-Yalanji
tpg	Kula
glj	Kulaal
kul	Kulere
kxj	Kulfa
xpk	Kulina
vkl	Kulisusu
kfx	Kullu Pahari
uun	Kulon-Pazeh
kle	Kulung
nee	Kumak
ksl	Kumalu
kdi	Kumam
kue	Kuman
kfy	Kumaoni
kmj	Kumarbhag Paharia
ksm	Kumba
kgs	Kumbainggar
wkb	Kumbaran
xks	Kumbewaha
kra	Kumhali
dih	Kumiai
kuo	Kumukio
kum	Kumyk
zum	Kumzari
cuk	Kuna
kun	Kunama
wlg	Kunbarlang
kdn	Kunda
shd	Kundal Shahi
wku	Kunduvadi
kfl	Kung
ggk	Kungarakany
gdt	Kungardutyi
kvs	Kunggara
kgl	Kunggari
lku	Kungkari
kse	Kuni
kvg	Kuni-Boazi
xug	Kunigami
kup	Kunimaipa
pep	Kunja
kjn	Kunjen
njx	Kunyi
kuz	Kunza
xuo	Kuo
kto	Kuot
kug	Kupa
mkn	Kupang Malay
key	Kupia
kpz	Kupsabiny
kuv	Kur
nqk	Kura Ede Nago
krh	Kurama
knk	Kuranko
ku	Kurdish
nbn	Kuri
kuj	Kuria
kfh	Kurichiya
kfv	Kurmukar
unn	Kurnai
vku	Kurrama
ktm	Kurti
gdj	Kurtjar
xkz	Kurtop
kyr	Kuru?ya
kjr	Kurudu
kru	Kurukh
kus	Kusaal
ksg	Kusaghe
kuh	Kushi
ksv	Kusu
kgg	Kusunda
ght	Kutang Ghale
kut	Kutenai
kub	Kutep
xut	Kuthant
kpa	Kutto
kdc	Kutu
khj	Kuturmi
thd	Kuuk Thaayorre
uky	Kuuk Yak
kuy	Kuuku-Ya'u
kxv	Kuvi
blh	Kuwaa
cwt	Kuwaataay
kdt	Kuy
fkv	Kven
wka	Kw'adza
bko	Kwa'
ksq	Kwaami
kwz	Kwadi
kwd	Kwaio
kdz	Kwaja
kwq	Kwak
kwk	Kwak'wala
kwu	Kwakum
qwt	Kwalhioqua-Tlatskanai
kmq	Kwama
kwm	Kwambi
tnk	Kwamera
ktf	Kwami
okk	Kwamtim One
kvi	Kwang
kwj	Kwanga
kwn	Kwangali
knp	Kwanja
kj	Kwanyama
kwf	Kwara'ae
nmg	Kwasio
kya	Kwaya
xwa	Kwaza
xwg	Kwegu
kwr	Kwer
kwe	Kwerba
xwr	Kwerba Mamberamo
cwe	Kwere
kkb	Kwerisa
kws	Kwese
kwt	Kwesten
gww	Kwini
kuc	Kwinsu
kww	Kwinti
kmo	Kwoma
kwo	Kwomtari
xuu	Kxoe
bka	Kyak
kyc	Kyaka
nqq	Kyan-Karyaw Naga
kql	Kyenele
tye	Kyenga
kgy	Kyerung
ky	Kyrgyz
lbi	La'bi
bwj	L?? L?? Bwamu
ldn	L?adan
gdm	Laal
cae	Laalaa
lau	Laba
lbb	Label
jku	Labir
mwi	Labo
ypb	Labo Phowa
lbu	Labu
dtb	Labuk-Kinabatangan Kadazan
lac	Lacandon
lbt	Lachi
zpa	Lachiguiri Zapotec
zpl	Lachix?o Zapotec
lbj	Ladakhi
lld	Ladin
lad	Ladino
llj	Ladji-Ladji
lkl	Laeko-Libuat
laf	Lafofa
lgb	Laghu
lgh	Laghuu
kot	Lagwan
lhh	Laha (Indonesia)
lha	Laha (Vietnam)
lhn	Lahanan
lah	Lahnda
kvt	Lahta Karen
lhu	Lahu
lhi	Lahu Shi
lhl	Lahul Lohar
cnh	Lai
lmx	Laimbue
clj	Laitu Chin
lji	Laiyolo
lbe	Lak
lak	Laka
lka	Lakalei
lmw	Lake Miwok
lkh	Lakha
lki	Laki
lbc	Lakkia
lkn	Lakon
lkd	Lakond?
lkt	Lakota
dic	Lakota Dida
nrz	Lala
leb	Lala-Bisa
lla	Lala-Roba
cnl	Lalana Chinantec
lal	Lalia
lay	Lama Bai
slp	Lamaholot
lmr	Lamalera
hia	Lamang
lmq	Lamatuka
lam	Lamba
lmn	Lambadi
lmh	Lambichhong
lmy	Lamboya
lai	Lambya
bma	Lame
lmu	Lamenu
lbn	Lamet
ldh	Lamja-Dengsa-Tola
lmk	Lamkang
lev	Lamma
lns	Lamnso'
lmg	Lamogai
ljp	Lampung Api
llh	Lamu
lby	Lamu-Lamu
ruu	Lanas Lobu
ldm	Landoma
yne	Lang'e
lnm	Langam
lna	Langbashe
lag	Langi
yln	Langnian Buyang
lno	Lango (Sudan)
laj	Lango (Uganda)
lnw	Lanima
lnh	Lanoh
lo	Lao
nlq	Lao Naga
lwm	Laomian
lbg	Laopang
lso	Laos Sign Language
ztl	Lapagu?a-Guivini Zapotec
art-lap	Lapine
laa	Lapuyan Subanun
lrg	Laragia
lrt	Larantuka Malay
lbz	Lardil
lrv	Larevat
lrl	Lari
alo	Larike-Wakasihu
lro	Laro
lar	Larteh
lan	Laru
llm	Lasalimu
lsa	Lasgerdi
lsi	Lashi
lss	Lasi
ltg	Latgalian
la	Latin
ltu	Latu
ltn	Latund?
lv	Latvian
lsl	Latvian Sign Language
llu	Lau
luf	Laua
llx	Lauan
law	Lauje
lur	Laura
lre	Laurentian
clt	Lautu Chin
lbv	Lavatbura-Lamusong
brb	Lave
lbo	Laven
lvk	Lavukaleve
lbx	Lawangan
lwu	Lawu
tgi	Lawunuia
lya	Layakha
lzz	Laz
cle	Lealao Chinantec
lec	Leco
lew	Ledo Kaili
ldk	Leelau
lfa	Lefa
lgm	Lega-Mwenga
lea	Lega-Shabunda
agb	Legbo
lcc	Legenyem
tql	Lehali
urr	Lehalurup
lzn	Leinong Naga
lek	Leipon
llk	Lelak
lln	Lele (Chad)
llc	Lele (Guinea)
lle	Lele (New Guinea)
lef	Lelemi
lpa	Lelepa
leq	Lembena
lrz	Lemerig
lei	Lemio
xle	Lemnian
ley	Lemolang
ldj	Lemoro
tnl	Lenakel
led	Lendu
lgi	Lengilu
lgr	Lengo
lej	Lengola
leh	Lenje
ler	Lenkau
ldg	Lenyima
roa-leo	Leonese
lep	Lepcha
lpe	Lepki
xlp	Lepontic
gnh	Lere
les	Lese
let	Lesing-Gelimi
nms	Letemboi
leo	Leti (Cameroon)
lti	Leti (Indonesia)
lvu	Levuka
lww	Lewo
lwe	Lewo Eleng
lwt	Lewotobi
ayi	Leyigha
lez	Lezgi
mhx	Lhaovo
lhp	Lhokpu
lhm	Lhomi
ljl	Li'o
lix	Liabuku
ste	Liana-Seti
njn	Liangmai Naga
zln	Lianshan Zhuang
xpe	Liberia Kpelle
lir	Liberian English
liq	Libido
liz	Libinza
lbl	Libon Bikol
xli	Liburnian
ayl	Libyan Arabic
lbs	Libyan Sign Language
lig	Ligbi
lgz	Ligenza
lij	Ligurian
lih	Lihir
mgi	Lijili
lik	Lika
lio	Liki
lie	Likila
kxx	Likuba
lib	Likum
kwc	Likwala
lll	Lilau
lil	Lillooet
bme	Limassa
lif	Limbu
lmp	Limbum
li	Limburgish
ylm	Limi
lmc	Limilngan
kmk	Limos Kalinga
klw	Lindu
lab	Linear A
ln	Lingala
onb	Lingao
lgk	Lingarak
lii	Lingkhim
ngc	Lingombe
lfn	Lingua Franca Nova
lnj	Linngithigh
apl	Lipan
lpo	Lipo
lcs	Lisabata-Nuniali
lcl	Lisela
lsh	Lish
trg	Lish?n Did?n
lsd	Lishana Deni
aij	Lishanid Noshan
lis	Lisu
lzh	Literary Chinese
lt	Lithuanian
lls	Lithuanian Sign Language
lzl	Litzlitz
zlj	Liujiang Zhuang
zlq	Liuqian Zhuang
liv	Livonian
olo	Livvi
lht	Lo-Toga
lrk	Loarki
loq	Lobala
lob	Lobi
lbm	Lodhi
lgq	Logba
log	Logo
lof	Logol
rag	Logooli
liu	Logorik
src	Logudorese Sardinian
jbo	Lojban
yaz	Lokaa
lok	Loko
lky	Lokoya
lcd	Lola
llq	Lolak
llg	Lole
llb	Lolo
loa	Loloda
ycl	Lolopo
lmv	Lomaiviti
loi	Lomakka
rmi	Lomavren
lmo	Lombard
lng	Lombardic
lmi	Lombi
loo	Lombo
ngl	Lomwe
lce	Loncong
lpn	Long Phuri Naga
ttw	Long Wat
nxd	Longandu
lgu	Longgu
wok	Longto
lnu	Longuda
los	Loniu
crc	Lonwolwol
lnz	Lonzo
ldo	Loo
lom	Looma
lop	Lopa
lov	Lopi
lpx	Lopit
lrn	Lorang
lnn	Lorediakarkar
spq	Loreto-Ucayali Spanish
uvl	Lote
njh	Lotha Naga
dtr	Lotud
lot	Lotuko
loj	Lou
lou	Louisiana Creole French
lox	Loun
xlo	Loup A
xlb	Loup B
vnk	Lovono
nds	Low German
loy	Lowa
xbb	Lower Burdekin
cea	Lower Chehalis
dni	Lower Grand Valley Dani
dsb	Lower Sorbian
axl	Lower Southern Aranda
tto	Lower Ta'oih
taa	Lower Tanana
clo	Lowland Oaxaca Chontal
tac	Lowland Tarahumara
ztp	Loxicha Zapotec
loz	Lozi
khb	L?
prb	Lua'
lex	Luang
lu	Luba-Katanga
kcc	Lubila
lcf	Lubu
knb	Lubuagan Kalinga
lch	Luchazi
luq	Lucumi
lud	Ludian
ldq	Lufu
lg	Luganda
lgg	Lugbara
ruf	Luguru
lcq	Luhu
luy	Luhya
lba	Lui
lum	Luimbi
lui	Luise?o
dop	Lukpa
ule	Lule
smj	Lule Sami
luu	Lumba-Yakkha
lmz	Lumbee
lup	Lumbu
lmd	Lumun
lnd	Lun Bawang
luj	Luna
luk	Lunanakha
lun	Lunda
lga	Lungga
luo	Luo
hml	Luopohe Hmong
ldd	Luri
lse	Lusengo
lut	Lushootseed
khl	Lusi
xls	Lusitanian
lts	Lutachoni
ndy	Lutos
lue	Luvale
luv	Luwati
xlu	Luwian
lwo	Luwo
lb	Luxembourgish
lyn	Luyana
lwa	Lwalu
xlc	Lycian
xld	Lydian
lee	Ly?l?
lyg	Lyngngam
lsg	Lyons Sign Language
msj	Ma
mhy	Ma'anyan
mhi	Ma'di
slz	Ma'ya
cma	Maa
mew	Maaka
mdy	Maale
mas	Maasai
ymm	Maay
mqa	Maba
mmz	Mabaale
mfz	Mabaan
kkg	Mabaka Valley Kalinga
muj	Mabire
mca	Maca
mcl	Macaguaje
mbn	Macagu?n
mzs	Macanese
mk	Macedonian
jmc	Machame
mcb	Machiguenga
mpd	Machinere
mvw	Machinga
wpc	Maco
myy	Macuna
mbc	Macushi
mxu	Mada (Cameroon)
mda	Mada (Nigeria)
mzc	Madagascar Sign Language
mmx	Madak
xmx	Maden
grg	Madi
zml	Madngele
kmd	Madukayang Kalinga
mad	Madurese
mme	Mae
hmk	Maek
itt	Maeng Itneg
maf	Mafa
mkv	Mafea
sgb	Mag-Anchi Ayta
blx	Mag-Indi Ayta
mtw	Magahat
mag	Magahi
xtm	Magdalena Pe?asco Mixtec
gmd	M?ghd?
gmg	Mag?yi
gmx	Magoma
zgr	Magori
mdh	Maguindanao
mjx	Mahali
pmh	Maharastri Prakrit
bfz	Mahasu Pahari
mjy	Mahican
mhb	Mahongwe
mxx	Mahou
mcw	Mahwa
sks	Maia
mzz	Maiadomu
tnh	Maiani
mmm	Maii
mgu	Mailu
cwb	Maindo
zrs	Mairasi
mbq	Maisin
mai	Maithili
wmm	Maiwa (Indonesia)
mti	Maiwa (New Guinea)
mum	Maiwala
mpe	Majang
xmj	Majera
mjz	Majhi
mmj	Majhwar
mkg	Mak (China)
pbl	Mak (Nigeria)
mcp	Makaa
myh	Makah
mkz	Makasae
mak	Makasar
mfp	Makassar Malay
aup	Makayam
vmw	Makhuwa
xmc	Makhuwa-Marrevone
mgh	Makhuwa-Meetto
mhm	Makhuwa-Moniga
xsq	Makhuwa-Saka
vmk	Makhuwa-Shirima
mgf	Maklew
zmh	Makolkol
kde	Makonde
lva	Maku'a
mpu	Makur?p
jmn	Makuri Naga
ymk	Makwe
umn	Makyan Naga
mlf	Mal
mkb	Mal Paharia
ped	Mala (New Guinea)
ruy	Mala (Nigeria)
ima	Mala Malasar
ccm	Malaccan Creole Malay
mcm	Malaccan Creole Portuguese
mg	Malagasy
mmt	Malalamai
mln	Malango
mjo	Malankuravan
mjp	Malapandaram
mjq	Malaryan
mkr	Malas
mqz	Malasanga
ymr	Malasar
mjr	Malavedan
lon	Malawi Lomwe
swk	Malawi Sena
ms	Malay
ml	Malayalam
xdy	Malayic Dayak
mlz	Malaynon
mbp	Malayo
xml	Malaysian Sign Language
bfo	Malba Birifor
mdc	Male
pqm	Malecite-Passamaquoddy
gut	Mal?ku Ja?ka
pkt	Maleng
mgl	Maleu-Kilenge
mlx	Malfaxal
vml	Malgana
mxf	Malgbe
gcc	Mali
mgq	Malila
mzd	Malimba
mli	Malimpung
tcf	Malinaltepec Tlapanec
mla	Malo
mbk	Malol
mt	Maltese
mdl	Maltese Sign Language
mjt	Malto
mll	Malua Bay
mup	Malvi
mam	Mam
mma	Mama
mhf	Mamaa
wmd	Mamaind?
mmn	Mamanwa
myk	Mamara Senoufo
mqj	Mamasa
mgm	Mambae
mcs	Mambai
mvd	Mamboru
mgr	Mambwe-Lungu
maw	Mampruli
mqx	Mamuju
emm	Mamulique
kdf	Mamusi
mdi	Mamvu
mlc	Man Cao Lan
mml	Man Met
xmm	Manado Malay
mva	Manam
mle	Manambu
nmm	Manangba
znk	Manangkari
mnc	Manchu
mha	Manda
mht	Mandahuaca
mid	Mandaic
btm	Mandailing Batak
art-man	Mandalorian
mhq	Mandan
zmk	Mandandanyi
mdr	Mandar
tbf	Mandara
mqu	Mandari
cmn	Mandarin
mjl	Mandeali
mqr	Mander
man	Mandingo
mnk	Mandinka
mfv	Mandjak
aax	Mandobo Atas
bwp	Mandobo Bawah
jet	Manem
zng	Mang
mem	Mangala
mpc	Mangarayi
mrv	Mangarevan
zns	Mangas
myj	Mangayat
mdj	Mangbetu
mdk	Mangbutu
zme	Mangerr
mmo	Mangga Buang
mqy	Manggarai
mge	Mango
mqc	Mangole
mbh	Mangseng
xmn	Manichaean Middle Persian
xkb	Manigri-Kambol? Ede Nago
mnx	Manikion
mqp	Manipa
mni	Manipuri
knf	Mankanya
mju	Manna-Dora
mjv	Mannan
mev	Mano
woo	Manombai
msk	Mansaka
mns	Mansi
msw	Mansoanka
myg	Manta
nty	Mantsi
kxf	Manumanaw Karen
wha	Manusela
gv	Manx
mzj	Manya
mny	Manyawa
mxc	Manyika
mzv	Manza
nbi	Mao Naga
mmd	Maonan
swb	Maore Comorian
mi	Maori
mlh	Mape
mnm	Mapena
mpy	Mapia
mpw	Mapidian
bzh	Mapos Buang
mcg	Mapoyo
arn	Mapudungun
sjm	Mapun
mch	Maquiritari
mec	Mara
mrh	Mara Chin
lri	Marachi
vmh	Maraghei
mrs	Maragus
nma	Maram Naga
lrm	Marama
myd	Maramba
mrw	Maranao
zmr	Maranunggu
mgb	Mararit
mr	Marathi
mvr	Marau
mpg	Marba
vmr	Marenje
mvu	Marfa
zmc	Margany
mfm	Marghi South
mrt	Margi
mhg	Margu
mds	Maria
mrc	Maricopa
zmd	Maridan
zmj	Maridjabin
dad	Marik
zmm	Marimanindji
mrz	Marind
mbw	Maring
nng	Maring Naga
zmt	Maringarr
mrb	Marino
mqi	Mariri
nsr	Maritime Sign Language
msp	Maritsau?
zmy	Mariyedi
rkm	Marka
enb	Markweeta
rmz	Marma
cpe-mar	Maroon Spirit Language
mvo	Marovo
xru	Marriammu
mfr	Marrithiyel
umc	Marrucinian
mh	Marshallese
ims	Marsian
mre	Martha's Vineyard Sign Language
zmg	Marti Ke
mpj	Martu Wangka
vma	Martuthunira
mzr	Mar?bo
mwr	Marwari
myx	Masaba
tis	Masadiit Itneg
mls	Masalit
mcn	Masana
bks	Masbate Sorsogon
msb	Masbatenyo
cuj	Mashco Piro
mho	Mashi
ism	Masimasi
bnf	Masiwang
klv	Maskelynes
msv	Maslam
mes	Masmaje
wam	Massachusett
mdg	Massalat
mvs	Massep
mtn	Matagalpa
mfh	Matal
xmt	Matbat
mgv	Matengo
mqe	Matepi
mbt	Matigsalug Manobo
mzo	Matipuhy
mpq	Mat?s
met	Mato
axg	Mato Grosso Ar?ra
mtm	Mator
ymt	Mator-Taygi-Karagas
mcf	Mats?s
mvb	Mattole
mjk	Matukar
mgw	Matumbi
stj	Matya Samo
mph	Maung
mfe	Mauritian Creole
lsy	Mauritian Sign Language
mhl	Mauwake
wma	Mawa
mjj	Mawak
mcz	Mawan
mzx	Mawayana
mke	Mawchi
mgk	Mawes
mbl	Maxakal?
mxl	Maxi Gbe
sym	Maya Samo
xmy	Mayaguduna
yan	Mayangna
yxa	Mayawali
ayz	Maybrat
myc	Mayeka
mnt	Maykulan
mfy	Mayo
mdm	Mayogo
ifu	Mayoyao Ifugao
dkx	Mazagway
zpy	Mazaltepec Zapotec
mzn	Mazanderani
vmz	Mazatl?n Mazatec
mzl	Mazatl?n Mixe
mfc	Mba
vmb	Mbabaram
mdp	Mbala
lnb	Mbalanhu
zmz	Mbandja
mxg	Mbangala
mgn	Mbangi
zmn	Mbangwe
mvl	Mbara (Australia)
mpk	Mbara (Chad)
zmv	Mbariman-Gudhinma
mdn	Mbati
gwa	Mbato
myb	Mbay
mfo	Mbe
mtk	Mbe'
mql	Mbelime
mdt	Mbere
zms	Mbesa
mbo	Mbo (Cameroon)
zmw	Mbo (Congo)
moi	Mboi
mdu	Mboko
mdq	Mbole
xmb	Mbonga
bgu	Mbongno
mdw	Mbosi
mxo	Mbowe
mka	Mbre
muc	Mbu'
xmd	Mbudum
mhd	Mbugu
mgz	Mbugwe
mqb	Mbuko
mhw	Mbukushu
mna	Mbula
mbu	Mbula-Bwazza
mlb	Mbule
mbv	Mbulungish
mdd	Mbum
mck	Mbunda
mgy	Mbunga
bbt	Mburku
mfu	Mbwela
gun	Mby? Guaran?
mym	Me'en
meg	Mea
fit	Me?nkieli
mjn	Mebu
mjm	Medebur
mue	Media Lengua
mwx	Mediak
xme	Median
mud	Mednyj Aleut
byv	Medumba
mfj	Mefele
mef	Megam
ruq	Megleno-Romanian
nux	Mehek
mmh	Mehin?ku
gdq	Mehri
mek	Mekeo
mvk	Mekmek
msf	Mekwei
mxe	Mele-Fila
mfx	Melo
med	Melpa
